round,slate,clicks,binary_reward,soft_score
506,"[785, 233, 259, 264, 348, 307, 42, 303, 489, 297]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",1,1
507,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 1, 0, 1, 1, 0, 0, 1, 0, 0]",1,5
508,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[0, 1, 0, 0, 0, 1, 1, 0, 0, 0]",1,3
509,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 1, 1, 0, 1, 1, 1, 1, 1, 1]",1,9
510,"[101, 487, 329, 497, 165, 74, 643, 594, 175, 500]","[1, 0, 0, 0, 0, 1, 0, 1, 0, 1]",1,4
511,"[67, 57, 15, 282, 823, 937, 231, 171, 434, 951]","[1, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1,2
512,"[744, 761, 258, 621, 770, 426, 916, 909, 708, 518]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",1,1
513,"[948, 630, 244, 902, 168, 952, 564, 496, 576, 443]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0
514,"[462, 459, 711, 294, 942, 801, 64, 536, 429, 180]","[1, 0, 0, 0, 0, 0, 1, 0, 0, 0]",1,2
515,"[352, 470, 42, 300, 80, 652, 854, 138, 909, 989]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1,1
516,"[681, 727, 104, 561, 238, 278, 919, 476, 119, 924]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0
517,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 1, 1, 0, 1, 1, 0, 1, 1, 0]",1,7
518,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 1, 1, 1, 1, 1, 0, 1, 0, 1]",1,8
519,"[471, 582, 346, 215, 808, 312, 45, 799, 504, 97]","[1, 0, 1, 1, 0, 1, 0, 0, 0, 0]",1,4
520,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[0, 1, 0, 1, 0, 1, 1, 1, 1, 1]",1,7
521,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 1, 0, 1, 0, 1, 1, 1, 0, 1]",1,7
522,"[233, 494, 756, 299, 135, 849, 979, 96, 933, 866]","[0, 1, 1, 0, 0, 1, 0, 1, 0, 0]",1,4
523,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[0, 0, 1, 0, 0, 0, 1, 1, 1, 1]",1,5
524,"[799, 53, 550, 513, 344, 246, 284, 397, 837, 948]","[1, 0, 0, 0, 0, 1, 0, 0, 0, 0]",1,2
525,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 0, 0, 0, 1, 1, 0, 0, 1, 1]",1,5
526,"[391, 416, 589, 450, 917, 769, 187, 447, 49, 463]","[1, 0, 1, 0, 0, 1, 0, 1, 0, 0]",1,4
527,"[121, 777, 46, 297, 950, 299, 84, 104, 751, 764]","[1, 0, 0, 0, 1, 1, 0, 0, 1, 0]",1,4
528,"[368, 656, 596, 286, 736, 709, 93, 869, 579, 955]","[0, 0, 1, 0, 1, 0, 0, 0, 0, 0]",1,2
529,"[837, 516, 211, 249, 322, 831, 221, 586, 478, 541]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0
530,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 1, 1, 0, 0, 0, 1, 1, 0, 0]",1,5
531,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[0, 1, 0, 0, 1, 1, 1, 1, 1, 1]",1,7
532,"[830, 511, 68, 711, 311, 861, 518, 523, 976, 360]","[1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",1,3
533,"[505, 712, 317, 775, 588, 204, 294, 974, 327, 255]","[0, 0, 1, 0, 1, 0, 0, 0, 0, 0]",1,2
534,"[912, 798, 440, 233, 946, 106, 257, 830, 690, 646]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",1,1
535,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 1, 1, 1, 0, 0, 1, 0, 1, 0]",1,6
536,"[818, 626, 381, 129, 880, 651, 168, 789, 802, 372]","[1, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1,2
537,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 1, 1, 0, 1, 0, 0, 0, 0, 0]",1,4
538,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 1, 0, 0, 1, 1, 1, 0, 0, 1]",1,6
539,"[515, 351, 212, 511, 627, 738, 662, 99, 235, 480]","[1, 0, 0, 0, 0, 0, 1, 0, 0, 1]",1,3
540,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[0, 0, 1, 1, 0, 1, 1, 1, 1, 0]",1,6
541,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 1, 1, 1, 1, 0, 0, 1, 1, 1]",1,8
542,"[633, 591, 904, 547, 463, 946, 379, 564, 827, 939]","[0, 0, 0, 1, 0, 1, 0, 0, 0, 0]",1,2
543,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 1, 0, 1, 0, 1, 0, 1, 1, 0]",1,6
544,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 0, 0, 0, 1, 0, 1, 1, 1, 0]",1,5
545,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 1, 1, 1, 0, 1, 0, 0, 0, 1]",1,6
546,"[682, 906, 314, 791, 554, 335, 424, 523, 503, 158]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0]",1,2
547,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 1, 0, 0, 0, 0, 1, 1, 0, 1]",1,5
548,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 1, 1, 0, 1, 0, 0, 0, 1, 1]",1,6
549,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 0, 1, 1, 1, 1, 0, 0, 0, 1]",1,6
550,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 1, 0, 1, 1, 0, 1, 0, 0, 0]",1,5
551,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[0, 1, 1, 0, 0, 0, 1, 0, 1, 1]",1,5
552,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[0, 1, 1, 1, 1, 1, 0, 1, 0, 1]",1,7
553,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[0, 1, 1, 0, 0, 0, 0, 1, 1, 0]",1,4
554,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 1, 0, 0, 1, 1, 1, 0, 0, 1]",1,6
555,"[528, 946, 901, 329, 215, 727, 92, 261, 874, 216]","[1, 1, 1, 0, 0, 0, 0, 1, 0, 1]",1,5
556,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 1, 0, 1, 0, 0, 1, 1, 1, 1]",1,7
557,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 0, 0, 1, 1, 0, 0, 1, 0, 1]",1,5
558,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 1, 1, 1, 1, 1, 0, 1, 0, 0]",1,7
559,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[0, 1, 0, 0, 1, 0, 1, 0, 1, 0]",1,4
560,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 0, 0, 1, 0, 1, 0, 1, 1, 0]",1,5
561,"[576, 526, 555, 589, 531, 605, 892, 187, 528, 860]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0
562,"[615, 286, 172, 528, 482, 502, 623, 843, 296, 917]","[0, 0, 0, 1, 0, 1, 0, 1, 1, 1]",1,5
563,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 0, 1, 0, 0, 0, 0, 1, 0, 1]",1,4
564,"[746, 542, 515, 65, 134, 26, 357, 438, 822, 338]","[0, 1, 1, 0, 0, 0, 0, 0, 0, 1]",1,3
565,"[233, 336, 683, 729, 634, 962, 920, 154, 13, 16]","[0, 0, 1, 1, 1, 0, 0, 0, 0, 0]",1,3
566,"[571, 260, 378, 782, 323, 366, 527, 822, 692, 236]","[0, 0, 0, 1, 0, 0, 1, 0, 0, 0]",1,2
567,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[0, 1, 0, 1, 0, 0, 1, 0, 1, 0]",1,4
568,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 1, 0, 1, 1, 0, 1, 1, 1, 1]",1,8
569,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[0, 0, 1, 0, 1, 0, 1, 1, 0, 1]",1,5
570,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 1, 0, 0, 1, 1, 1, 1, 1, 1]",1,8
571,"[741, 822, 657, 809, 301, 493, 99, 206, 729, 710]","[0, 0, 1, 0, 0, 0, 0, 1, 0, 0]",1,2
572,"[194, 28, 414, 628, 950, 545, 418, 757, 700, 36]","[0, 0, 0, 1, 0, 1, 0, 1, 0, 0]",1,3
573,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[0, 0, 0, 1, 0, 1, 0, 0, 1, 1]",1,4
574,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 0, 1, 1, 0, 1, 0, 0, 0, 1]",1,5
575,"[955, 344, 187, 488, 571, 159, 455, 863, 982, 444]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1
576,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[0, 1, 0, 0, 1, 0, 1, 1, 1, 1]",1,6
577,"[790, 67, 669, 498, 416, 576, 868, 284, 220, 609]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",1,1
578,"[563, 791, 161, 914, 39, 135, 224, 342, 281, 333]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 1]",1,2
579,"[462, 961, 929, 125, 261, 621, 258, 363, 147, 587]","[1, 0, 0, 0, 1, 0, 1, 1, 0, 0]",1,4
580,"[941, 621, 34, 5, 48, 955, 862, 617, 990, 136]","[1, 0, 0, 0, 0, 0, 1, 0, 0, 1]",1,3
581,"[178, 921, 772, 219, 708, 666, 36, 522, 137, 842]","[0, 1, 0, 1, 0, 0, 0, 1, 1, 0]",1,4
582,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[0, 0, 1, 0, 0, 0, 1, 0, 0, 0]",1,2
583,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 0, 0, 0, 0, 1, 1, 1, 1, 1]",1,6
584,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 1, 1, 1, 1, 0, 1, 1, 0, 1]",1,8
585,"[675, 777, 75, 455, 243, 167, 462, 74, 846, 401]","[0, 0, 0, 1, 0, 0, 1, 1, 1, 0]",1,4
586,"[143, 865, 741, 439, 632, 379, 4, 606, 979, 267]","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",1,2
587,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 1, 1, 0, 1, 1, 1, 1, 0, 0]",1,7
588,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 1, 1, 0, 0, 1, 1, 0, 1, 0]",1,6
589,"[457, 862, 306, 788, 286, 639, 782, 513, 43, 651]","[1, 1, 0, 0, 0, 0, 0, 0, 0, 1]",1,3
590,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[0, 1, 1, 0, 1, 1, 0, 1, 1, 0]",1,6
591,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[0, 1, 0, 1, 0, 1, 1, 0, 1, 1]",1,6
592,"[699, 146, 775, 599, 394, 25, 23, 905, 203, 248]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 1]",1,2
593,"[376, 922, 902, 474, 618, 502, 758, 168, 417, 756]","[1, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1,2
594,"[284, 639, 794, 116, 897, 946, 512, 561, 681, 293]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",1,1
595,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 1, 1, 0, 0, 0, 1, 1, 0, 1]",1,6
596,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 1, 1, 1, 0, 1, 1, 1, 0, 1]",1,8
597,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 0, 1, 0, 1, 0, 1, 1, 0, 1]",1,6
598,"[948, 338, 293, 72, 299, 650, 352, 12, 120, 541]","[1, 0, 0, 1, 1, 0, 0, 0, 0, 0]",1,3
599,"[856, 475, 270, 670, 817, 679, 446, 283, 789, 816]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",1,1
600,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 1, 1, 0, 0, 1, 0, 0, 0, 1]",1,5
601,"[297, 687, 727, 89, 262, 359, 977, 219, 981, 500]","[0, 0, 1, 0, 0, 0, 1, 0, 0, 0]",1,2
602,"[837, 264, 997, 635, 389, 327, 964, 251, 256, 241]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1,1
603,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 0, 0, 1, 0, 1, 1, 0, 0, 0]",1,4
604,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 1, 1, 1, 1, 0, 0, 1, 1, 1]",1,8
605,"[416, 81, 303, 865, 534, 63, 239, 85, 57, 501]","[1, 0, 0, 0, 1, 0, 0, 0, 0, 0]",1,2
606,"[904, 704, 69, 594, 708, 664, 481, 432, 396, 991]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0
607,"[760, 285, 448, 146, 603, 282, 28, 607, 712, 36]","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1,2
608,"[423, 337, 403, 664, 457, 888, 601, 184, 467, 602]","[0, 1, 0, 0, 0, 1, 0, 0, 0, 0]",1,2
609,"[367, 441, 242, 548, 356, 646, 178, 76, 68, 226]","[0, 1, 0, 1, 0, 0, 0, 0, 0, 0]",1,2
610,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 1, 0, 0, 0, 1, 1, 1, 0, 1]",1,6
611,"[771, 328, 466, 826, 288, 639, 917, 61, 575, 8]","[0, 1, 0, 0, 0, 0, 1, 0, 1, 0]",1,3
612,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[0, 0, 1, 0, 1, 0, 0, 1, 1, 1]",1,5
613,"[148, 900, 559, 261, 348, 912, 887, 431, 356, 552]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",1,1
614,"[467, 235, 930, 565, 307, 326, 796, 680, 657, 402]","[0, 1, 0, 1, 0, 0, 1, 0, 0, 0]",1,3
615,"[986, 518, 45, 644, 338, 629, 962, 356, 536, 575]","[0, 0, 0, 1, 1, 0, 0, 0, 0, 0]",1,2
616,"[34, 888, 296, 446, 922, 252, 716, 381, 845, 757]","[0, 0, 0, 1, 0, 0, 0, 0, 1, 1]",1,3
617,"[71, 651, 494, 935, 456, 107, 385, 12, 778, 960]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 1]",1,2
618,"[238, 207, 381, 976, 23, 270, 480, 550, 322, 695]","[0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",1,2
619,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 1, 0, 0, 1, 0, 0, 1, 0, 1]",1,5
620,"[474, 918, 9, 198, 821, 163, 732, 714, 935, 531]","[1, 0, 0, 0, 0, 1, 1, 0, 0, 0]",1,3
621,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 1, 0, 1, 0, 1, 0, 0, 0, 1]",1,5
622,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[0, 0, 1, 1, 1, 0, 1, 0, 0, 1]",1,5
623,"[916, 814, 72, 945, 947, 316, 846, 674, 68, 537]","[0, 0, 0, 1, 1, 1, 1, 0, 0, 0]",1,4
624,"[860, 347, 163, 985, 822, 669, 550, 185, 118, 955]","[0, 0, 0, 0, 0, 0, 1, 0, 1, 1]",1,3
625,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[0, 0, 0, 0, 0, 1, 0, 0, 1, 1]",1,3
626,"[800, 523, 417, 438, 620, 498, 333, 26, 459, 625]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0
627,"[171, 113, 546, 567, 746, 359, 235, 104, 413, 662]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",1,1
628,"[929, 123, 829, 448, 953, 554, 259, 327, 149, 342]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",1,1
629,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[0, 1, 1, 0, 0, 0, 0, 0, 0, 1]",1,3
630,"[326, 947, 530, 397, 511, 576, 424, 691, 107, 177]","[0, 1, 0, 0, 0, 1, 1, 0, 0, 1]",1,4
631,"[586, 560, 0, 447, 121, 58, 115, 830, 455, 75]","[0, 0, 1, 0, 0, 0, 0, 0, 1, 0]",1,2
632,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 1, 1, 1, 1, 0, 0, 1, 1, 0]",1,7
633,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 1, 1, 1, 1, 1, 0, 0, 1, 1]",1,8
634,"[564, 555, 565, 645, 401, 127, 11, 664, 257, 611]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1,1
635,"[781, 538, 252, 607, 575, 278, 58, 272, 515, 940]","[1, 0, 0, 0, 0, 0, 1, 0, 1, 0]",1,3
636,"[876, 415, 31, 603, 750, 451, 290, 946, 961, 499]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 1]",1,2
637,"[731, 390, 680, 787, 810, 264, 120, 320, 91, 166]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",1,2
638,"[99, 35, 432, 975, 842, 377, 577, 422, 102, 636]","[0, 1, 0, 0, 1, 0, 0, 0, 0, 0]",1,2
639,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 1, 0, 1, 0, 1, 1, 1, 1, 0]",1,7
640,"[194, 983, 497, 563, 391, 403, 587, 52, 804, 357]","[0, 0, 0, 1, 1, 0, 0, 0, 0, 0]",1,2
641,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 1, 1, 1, 1, 0, 1, 1, 0, 1]",1,8
642,"[350, 815, 44, 495, 328, 261, 424, 8, 167, 724]","[0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",1,2
643,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 1, 0, 1, 1, 0, 0, 0, 0, 0]",1,4
644,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 1, 1, 0, 0, 0, 1, 1, 0, 1]",1,6
645,"[395, 440, 672, 163, 662, 185, 244, 407, 223, 918]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",1,1
646,"[21, 59, 971, 350, 791, 969, 694, 351, 571, 685]","[1, 1, 0, 0, 0, 0, 0, 0, 1, 0]",1,3
647,"[526, 780, 241, 120, 445, 453, 236, 450, 857, 794]","[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]",1,3
648,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 1, 0, 1, 0, 1, 0, 0, 1, 1]",1,6
649,"[126, 532, 795, 521, 528, 624, 315, 705, 747, 259]","[0, 1, 0, 0, 1, 0, 0, 1, 0, 0]",1,3
650,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 1, 0, 1, 0, 0, 0, 0, 1, 0]",1,4
651,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 0, 1, 1, 0, 1, 1, 0, 0, 0]",1,5
652,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 0, 1, 1, 1, 0, 0, 1, 1, 0]",1,6
653,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 1, 0, 1, 1, 0, 0, 0, 0, 0]",1,4
654,"[518, 291, 263, 931, 393, 73, 965, 896, 181, 467]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0
655,"[820, 84, 923, 366, 972, 104, 284, 121, 333, 41]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 1]",1,2
656,"[934, 327, 725, 276, 310, 443, 267, 843, 573, 476]","[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",1,2
657,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 1, 0, 1, 0, 0, 0, 1, 0, 1]",1,5
658,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 1, 1, 0, 1, 0, 1, 1, 1, 1]",1,8
659,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 0, 1, 0, 1, 1, 0, 0, 0, 0]",1,4
660,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 1, 0, 0, 1, 0, 0, 0, 0, 1]",1,4
661,"[337, 29, 703, 249, 822, 240, 801, 592, 951, 117]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1,1
662,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[0, 0, 1, 1, 0, 1, 1, 1, 1, 0]",1,6
663,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 1, 1, 0, 1, 1, 0, 0, 0, 1]",1,6
664,"[685, 370, 675, 308, 979, 814, 114, 19, 997, 591]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",1,1
665,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[0, 1, 0, 0, 1, 1, 1, 1, 1, 0]",1,6
666,"[214, 55, 631, 104, 945, 67, 694, 95, 426, 955]","[0, 0, 0, 1, 1, 1, 1, 1, 1, 0]",1,6
667,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 1, 0, 1, 0, 1, 1, 1, 0, 0]",1,6
668,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 0, 1, 1, 0, 1, 1, 0, 1, 0]",1,6
669,"[148, 737, 676, 163, 1, 437, 479, 313, 51, 886]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0
670,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 0, 1, 0, 1, 1, 0, 1, 1, 1]",1,7
671,"[922, 492, 13, 152, 710, 801, 76, 412, 72, 918]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0
672,"[634, 761, 812, 270, 162, 31, 657, 935, 692, 241]","[0, 0, 1, 1, 1, 0, 0, 0, 0, 0]",1,3
673,"[526, 564, 203, 192, 323, 784, 334, 529, 644, 778]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1,1
674,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[0, 1, 1, 1, 1, 1, 0, 0, 0, 1]",1,6
675,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 0, 0, 1, 1, 0, 0, 1, 0, 1]",1,5
676,"[480, 630, 206, 840, 683, 689, 829, 275, 811, 234]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",1,1
677,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 1, 1, 0, 1, 0, 1, 1, 1, 0]",1,7
678,"[730, 638, 960, 684, 378, 482, 369, 395, 15, 346]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0
679,"[790, 830, 702, 280, 896, 514, 635, 582, 589, 949]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 1]",1,2
680,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 0, 0, 0, 0, 0, 0, 1, 1, 1]",1,4
681,"[74, 593, 718, 381, 61, 429, 864, 98, 974, 814]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",1,1
682,"[711, 336, 296, 169, 929, 123, 628, 146, 592, 140]","[0, 0, 0, 0, 0, 1, 1, 0, 0, 0]",1,2
683,"[147, 959, 427, 807, 278, 685, 76, 159, 560, 686]","[0, 0, 1, 0, 0, 0, 0, 0, 1, 0]",1,2
684,"[397, 909, 77, 44, 122, 819, 170, 479, 188, 517]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1
685,"[861, 962, 471, 113, 129, 554, 295, 647, 452, 872]","[0, 0, 0, 1, 0, 0, 1, 0, 1, 0]",1,3
686,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 1, 1, 1, 1, 0, 0, 1, 1, 1]",1,8
687,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 1, 1, 0, 0, 1, 0, 1, 1, 0]",1,6
688,"[148, 851, 531, 803, 19, 371, 687, 26, 289, 115]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",1,1
689,"[365, 949, 826, 455, 228, 671, 780, 511, 672, 142]","[0, 0, 1, 0, 0, 0, 0, 0, 1, 0]",1,2
690,"[302, 292, 446, 206, 606, 844, 157, 506, 258, 896]","[1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",1,3
691,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[0, 1, 1, 0, 0, 1, 1, 0, 0, 0]",1,4
692,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 1, 0, 1, 0, 0, 1, 1, 1, 1]",1,7
693,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 1, 1, 0, 1, 0, 0, 0, 0, 1]",1,5
694,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 1, 0, 1, 1, 1, 1, 0, 1, 0]",1,7
695,"[177, 982, 514, 1, 880, 302, 479, 396, 985, 786]","[0, 1, 0, 1, 0, 0, 0, 0, 0, 0]",1,2
696,"[354, 687, 91, 437, 292, 86, 571, 771, 484, 157]","[0, 1, 1, 0, 0, 0, 0, 1, 1, 0]",1,4
697,"[817, 357, 74, 106, 343, 745, 824, 317, 544, 770]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1,1
698,"[693, 926, 945, 542, 240, 63, 726, 875, 118, 637]","[0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",1,2
699,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 1, 0, 1, 1, 0, 1, 1, 0, 0]",1,6
700,"[521, 854, 261, 619, 177, 627, 271, 962, 966, 434]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1,2
701,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 0, 1, 1, 1, 1, 0, 0, 0, 0]",1,5
702,"[113, 70, 881, 549, 770, 532, 623, 489, 829, 642]","[1, 0, 0, 0, 0, 1, 0, 0, 0, 0]",1,2
703,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 0, 0, 1, 1, 1, 1, 0, 0, 1]",1,6
704,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 0, 1, 1, 1, 0, 1, 1, 0, 1]",1,7
705,"[627, 780, 510, 92, 344, 590, 995, 73, 861, 257]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1,1
706,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 0, 1, 1, 1, 0, 1, 0, 0, 1]",1,6
707,"[877, 405, 64, 402, 708, 739, 986, 580, 459, 478]","[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",1,2
